_start meta data,,,,,,,,,,,,,,,,
_update_action,SKU,Regiao,Nome_comercial,Velocidade da Internet,Preco,Modem_Wifi,Oi_Wifi,Multa,Preco_Multa,Taxa_Inst_Hab,Validade_adesao,Regulamentos,Sumario,Outros_contratos,Mostrar_Selecao,ID_Imagem
String,String,String,String,String,Float,String,String,String,Float,String,String,Float,String,String,String,String
,,,,,,,,,,,,,,,,
_end meta data,,,,,,,,,,,,,,,,
modify,banda_larga_fibra_2pbl_nvend,Brasil,Banda Larga  50 Mega,50 Mega,89.9,1 modem de internet WiFi cedido em regime de comodato. ,2 milhões de pontos,Não,N/A, Grátis ,31/07/2018 a 30/09/2018, N/A , N/A , N/A , S ,
modify,banda_larga_fibra_combos_nvend,Brasil,Banda Larga  50 Mega,50 Mega,90,1 modem de internet WiFi cedido em regime de comodato. ,2 milhões de pontos,Não,N/A, Grátis ,31/07/2018 a 30/09/2018, N/A , N/A , N/A , S ,
