_start meta data
_update_action,SKU_Oferta,SKU_Conteudo
modify,fixo_allnet_2pbl_nvend_po_fid_com_sd_r1_pe,fixo_chamada_em_espera
modify,fixo_allnet_2pbl_nvend_po_fid_com_sd_r1_pi,fixo_chamada_em_espera
modify,fixo_allnet_2pbl_nvend_po_fid_com_sd_r1_rr,fixo_chamada_em_espera
modify,fixo_allnet_2pbl_nvend_po_fid_com_sd_r2,fixo_chamada_em_espera
modify,banda_larga_basico_fid_padrao_15mb_com_sva_r1,bl_oi_antivirus
modify,banda_larga_basico_fid_padrao_15mb_com_sva_r2,bl_oi_antivirus
modify,banda_larga_basico_fid_padrao_25mb_com_sva_r1,bl_oi_antivirus
modify,banda_larga_basico_fid_padrao_25mb_com_sva_r2,bl_oi_antivirus
modify,banda_larga_basico_fid_padrao_35mb_com_sva_r1,bl_oi_antivirus
modify,banda_larga_basico_fid_padrao_35mb_com_sva_r2,bl_oi_antivirus
modify,banda_larga_intermediario_fid_padrao_15mb_com_sva_r1,bl_oi_antivirus
modify,banda_larga_intermediario_fid_padrao_15mb_com_sva_r2,bl_oi_antivirus
modify,banda_larga_intermediario_fid_padrao_25mb_com_sva_r1,bl_oi_antivirus
modify,banda_larga_intermediario_fid_padrao_25mb_com_sva_r2,bl_oi_antivirus
modify,banda_larga_intermediario_fid_padrao_35mb_com_sva_r1,bl_oi_antivirus
modify,banda_larga_intermediario_fid_padrao_35mb_com_sva_r2,bl_oi_antivirus
modify,banda_larga_top_fid_padrao_15mb_com_sva_r1,bl_oi_antivirus
modify,banda_larga_top_fid_padrao_15mb_com_sva_r2,bl_oi_antivirus
modify,banda_larga_top_fid_padrao_25mb_com_sva_r1,bl_oi_antivirus
modify,banda_larga_top_fid_padrao_25mb_com_sva_r2,bl_oi_antivirus
modify,banda_larga_top_fid_padrao_35mb_com_sva_r1,bl_oi_antivirus
modify,banda_larga_top_fid_padrao_35mb_com_sva_r2,bl_oi_antivirus
modify,banda_larga_basico_fid_po_15mb_com_sva_r1,bl_oi_antivirus
modify,banda_larga_basico_fid_po_15mb_com_sva_r2,bl_oi_antivirus
modify,banda_larga_basico_fid_po_25mb_com_sva_r1,bl_oi_antivirus
modify,banda_larga_basico_fid_po_25mb_com_sva_r2,bl_oi_antivirus
modify,banda_larga_basico_fid_po_35mb_com_sva_r1,bl_oi_antivirus
modify,banda_larga_basico_fid_po_35mb_com_sva_r2,bl_oi_antivirus
modify,banda_larga_intermediario_fid_po_15mb_com_sva_r1,bl_oi_antivirus
modify,banda_larga_intermediario_fid_po_15mb_com_sva_r2,bl_oi_antivirus
modify,banda_larga_intermediario_fid_po_25mb_com_sva_r1,bl_oi_antivirus
modify,banda_larga_intermediario_fid_po_25mb_com_sva_r2,bl_oi_antivirus
modify,banda_larga_intermediario_fid_po_35mb_com_sva_r1,bl_oi_antivirus
modify,banda_larga_intermediario_fid_po_35mb_com_sva_r2,bl_oi_antivirus
modify,banda_larga_top_fid_po_15mb_com_sva_r1,bl_oi_antivirus
modify,banda_larga_top_fid_po_15mb_com_sva_r2,bl_oi_antivirus
modify,banda_larga_top_fid_po_25mb_com_sva_r1,bl_oi_antivirus
modify,banda_larga_top_fid_po_25mb_com_sva_r2,bl_oi_antivirus
modify,banda_larga_top_fid_po_35mb_com_sva_r1,bl_oi_antivirus
modify,banda_larga_top_fid_po_35mb_com_sva_r2,bl_oi_antivirus
modify,banda_larga_basico_fid_guer_15mb_com_sva_r1,bl_oi_antivirus
modify,banda_larga_basico_fid_guer_15mb_com_sva_r2,bl_oi_antivirus
modify,banda_larga_basico_fid_guer_25mb_com_sva_r1,bl_oi_antivirus
modify,banda_larga_basico_fid_guer_25mb_com_sva_r2,bl_oi_antivirus
modify,banda_larga_basico_fid_guer_35mb_com_sva_r1,bl_oi_antivirus
modify,banda_larga_basico_fid_guer_35mb_com_sva_r2,bl_oi_antivirus
modify,banda_larga_intermediario_fid_guer_15mb_com_sva_r1,bl_oi_antivirus
modify,banda_larga_intermediario_fid_guer_15mb_com_sva_r2,bl_oi_antivirus
modify,banda_larga_intermediario_fid_guer_25mb_com_sva_r1,bl_oi_antivirus
modify,banda_larga_intermediario_fid_guer_25mb_com_sva_r2,bl_oi_antivirus
modify,banda_larga_intermediario_fid_guer_35mb_com_sva_r1,bl_oi_antivirus
modify,banda_larga_intermediario_fid_guer_35mb_com_sva_r2,bl_oi_antivirus
modify,banda_larga_top_fid_guer_15mb_com_sva_r1,bl_oi_antivirus
modify,banda_larga_top_fid_guer_15mb_com_sva_r2,bl_oi_antivirus
modify,banda_larga_top_fid_guer_25mb_com_sva_r1,bl_oi_antivirus
modify,banda_larga_top_fid_guer_25mb_com_sva_r2,bl_oi_antivirus
modify,banda_larga_top_fid_guer_35mb_com_sva_r1,bl_oi_antivirus
modify,banda_larga_top_fid_guer_35mb_com_sva_r2,bl_oi_antivirus
modify,banda_larga_basico_nvend_fid_padrao_15mb_com_sva_brasil_combos,bl_oi_antivirus
modify,banda_larga_basico_fid_padrao_15mb_com_sva_r1,bl_oi_backup_cloud_50gb
modify,banda_larga_basico_fid_padrao_15mb_com_sva_r2,bl_oi_backup_cloud_50gb
modify,banda_larga_basico_fid_padrao_25mb_com_sva_r1,bl_oi_backup_cloud_50gb
modify,banda_larga_basico_fid_padrao_25mb_com_sva_r2,bl_oi_backup_cloud_50gb
modify,banda_larga_basico_fid_padrao_35mb_com_sva_r1,bl_oi_backup_cloud_50gb
modify,banda_larga_basico_fid_padrao_35mb_com_sva_r2,bl_oi_backup_cloud_50gb
modify,banda_larga_intermediario_fid_padrao_15mb_com_sva_r1,bl_oi_backup_cloud_50gb
