_start meta data,,,,,,,,,,,,,,,,,,,,,,
_update_action,SKU_Combo,SKU_Banda_Larga,SKU_Fixo,Regiao,Conteudo,Nome_Comecial,Preco_Fixo,Preco_BL,Velocidade_BL,Preco_conteudo,Multa,Preco_Multa,Taxa_Inst_Hab,Preco_Oi_Total,Preco_Desconto_Web,Valor_Desconto_DACC,Validade_adesao,Regulamentos,Sumario,Outros contratos,Mostrar_Selecao,ID_Imagem
String,String,String,String,String,String,String,String,String,String,String,String,Float,String,Float,Float,String,String,String,String,String,String,String
,,,,,,,,,,,,,,,,,,,,,,
_end meta data,,,,,,,,,,,,,,,,,,,,,,
modify,oi_total_banda_larga_fixo_basico_fid_padrao_com_sd_com_sva_15mb_r1_ma,banda_larga_basico_fid_padrao_15mb_com_sva_r1,fixo_allnet_2pbl_nvend_fid_com_sd_r1_ma,MA,Basico,Oi Total Play Básico,55,59.9,15 Mega,0,Sim,480,"Fixo – R$192 ou 12x de R$16;
Banda Larga – R$108 ou 12x de R$9;",119.9,114.9,5 reais por 3 meses,18/04/2018 a 18/07/2018,[url],[url],[url],S,
modify,oi_total_banda_larga_fixo_basico_fid_padrao_com_sd_com_sva_15mb_r1_mg,banda_larga_basico_fid_padrao_15mb_com_sva_r1,fixo_allnet_2pbl_nvend_fid_com_sd_r1_mg,MG,Basico,Oi Total Play Básico,55,59.9,15 Mega,0,Sim,480,"Fixo – R$192 ou 12x de R$16;
Banda Larga – R$108 ou 12x de R$9;",119.9,114.9,5 reais por 3 meses,18/04/2018 a 18/07/2018,[url],[url],[url],S,
modify,oi_total_banda_larga_fixo_basico_fid_padrao_com_sd_com_sva_15mb_r1_pa,banda_larga_basico_fid_padrao_15mb_com_sva_r1,fixo_allnet_2pbl_nvend_fid_com_sd_r1_pa,PA,Basico,Oi Total Play Básico,55,59.9,15 Mega,0,Sim,480,"Fixo – R$192 ou 12x de R$16;
Banda Larga – R$108 ou 12x de R$9;",119.9,114.9,5 reais por 3 meses,18/04/2018 a 18/07/2018,[url],[url],[url],S,
modify,oi_total_banda_larga_fixo_basico_fid_padrao_com_sd_com_sva_15mb_r1_pe,banda_larga_basico_fid_padrao_15mb_com_sva_r1,fixo_allnet_2pbl_nvend_fid_com_sd_r1_pe,PE,Basico,Oi Total Play Básico,55,59.9,15 Mega,0,Sim,480,"Fixo – R$192 ou 12x de R$16;
Banda Larga – R$108 ou 12x de R$9;",119.9,114.9,5 reais por 3 meses,18/04/2018 a 18/07/2018,[url],[url],[url],S,
modify,oi_total_banda_larga_fixo_basico_fid_padrao_com_sd_com_sva_15mb_r1_pi,banda_larga_basico_fid_padrao_15mb_com_sva_r1,fixo_allnet_2pbl_nvend_fid_com_sd_r1_pi,PI,Basico,Oi Total Play Básico,55,59.9,15 Mega,0,Sim,480,"Fixo – R$192 ou 12x de R$16;
Banda Larga – R$108 ou 12x de R$9;",119.9,114.9,5 reais por 3 meses,18/04/2018 a 18/07/2018,[url],[url],[url],S,
